name,lat,lng,url
Figuren Im Raum,48.105368,7.865999,http://lh3.googleusercontent.com/W27Ve-C8xctGfgIvKbtbzEUoXt2MEMpLKgUCL7bKtRaqnd2bE5JIMOaYVRXrpaVUW-rZClYZse60mjTcHJg
Holzpaar,48.104101,7.866887,http://lh3.googleusercontent.com/qNAf_olGpo1s4mLoSXyrKWYpGfBx1L4R4iIqobzTtGGcgjBM3VHDsVcV6pVFL_75x_c6wdqyBTWjBL-Jn14
Skulpturenweg,48.106722,7.864071,http://lh3.googleusercontent.com/bkDDS5hhepZzfR1dJgv1FuD7GKWi69RFB7-oTPUM0yufp7YLu9q4qtSQjulgkGqfm4pOSSrD_TDPFCgNzoe1
Gestrandet,48.107918,7.87216,http://lh3.googleusercontent.com/cy8csggttGPS1a68SkWZ4f6yRqpU1-9rKJEqWFaJ_t91GpPLqP9KFY4glisQnZTtSnUpWDhQw0MCXis608-M
Winzer Skulptur,48.106885,7.863792,http://lh3.googleusercontent.com/7RWoI5hGrS44oNC3YodBqFqEanU32pPBjKVoKTjD-ginBk0JZhDlV8vV6jxcZT2b_vuPP4_0RemsER4ZLqDP
zfp Emmendingen,48.117991,7.866287,http://lh3.googleusercontent.com/8b58KrO3tLbxllevuKsFjIylJSZEnxWmzkRvveNXHW0ez2aG-jNXIU_otz8AOxjLs_s38SWU342Sm50RsQY
Fussballstadion Emmendingen,48.118412,7.839257,http://lh3.googleusercontent.com/GXZ3HxOBAYr4Np_SxQ2buuANd71QyCu0sykib_EOSJDRHy4TGMO6YyosDhVAE9SnVy-QR1FrqhQrQItfUtFY
Altes Rathaus Niederemmendingen,48.123754,7.84056,http://lh3.googleusercontent.com/A4U2FrujsE8iOQm6y9FYOahPZ9zqvA1k4fZYishuRMaHJfhxs3S7QvguTT4uHgskZSVgQiQ50tXh1diSTpcO
Schweinchen,48.123135,7.840016,http://lh3.ggpht.com/P0pQer3RWpqOtoBsOpvJNRP8GKZiy6bhIszJJFKRLYPXwWPAzDRptINW4Us6ewaUAqVaRo-7qezmx8JIZQ2Q
Auf zur Hochburg!!,48.118569,7.896711,http://lh3.googleusercontent.com/6dJynl4ebuWgoY3i9ccDDLmJV0kkhY1H2tAhPcPJjPAFKBgaKd2OH-AeKI07aB0dWGn9_dlD4bnk8CQ68Oc
Am Gutensberg,48.108658,7.731487,http://lh3.googleusercontent.com/OWj5fWDG2D8DybacUOWkjjdh_JG9Qkhdeiq4oZFl1dZZqaAkjxgE01bhgcvkijEdC-8_Jihc1MNbKwrQfd8E
Heimatmuseum Menton Teningen,48.128827,7.807355,http://lh3.googleusercontent.com/kBslaasR0pqWKDo8Dur_Ps0H08zkarOsb1DMo2omfKt9RaWRifRQ8-tGpouEQzBGxvxI0Pm0yX6Zef_2X4Ex
Altes Spritzenhaus Teningen,48.126719,7.806863,http://lh3.googleusercontent.com/2WUjQUg51UJi2YVySmisRpuwO1TaFm3SjLzLQ_6NMGEDYgaEw3kJJDa_fM0m62jA-MUaGpplOuh9U67Kc7Wo
Runde Röhren,48.130444,7.80247,http://lh3.googleusercontent.com/gj7A_huMFGr7okpmZwyqpKQ_ZsHQDo5kCAbl9eU4yZ6sDu4nucSa8AVK8nNUhk-XCmObtnoqfdPHMg2wJD53bw
Keppenbach Eglise,48.144081,7.919816,http://lh3.ggpht.com/F9Ph373lEgkbUC1upkOKGuK3JPHSG1FvxdwsXDed7vAlIBrYwoNiRF8fn4se1ScV62D9rByfZ98mBtDihF87
Brunnen Rebflurbereinigung,48.137932,7.824414,http://lh4.ggpht.com/sl_9-kF2VqZQ34gvgWY506-yIxZhj9SLwxK7MhKs9DdXIb3MXeWJv9HG_5ECVONksQoXVuduWMVZX4TUIKch
Schmied aus Stein,48.132391,7.808572,http://lh3.googleusercontent.com/vfp7HwCRIcMSrUn-BEsdcGGKMDuBc1X38p9bPzLfztTt2mOCsXBDDBitbKg_6RKFs7CerBZDdgrMxUXNZUfbNA
Ehem. Schmiede,48.126621,7.811185,http://lh3.googleusercontent.com/DgWdtw3GJZtfUC1IuoWl3mb_Vb2vXyuHdCIMUzBSr6VFj6DNXIEhBB-3fM1Ol7R-jzttpuuL5nbBH5ScNn2c
Teningen Rathaus,48.128121,7.80861,http://lh4.ggpht.com/CV_AuSLfSqWFdb0lk81mJ6XKWqb4Zv9Gx6yMc8MEZAJBtJYdUWfbueYoMSU3Wr3KQ0ydgOM4LF6y6uPKlbFE
Goldene Sonne,48.127583,7.811373,http://lh6.ggpht.com/uHkWksFkdXbfiLYrg_tgfd052WyHLFG-fdROnFSVUNdC9DILJwYKBfWsR_qHoSRVjKpuVfSoCNWlSlGT9pCU
Weinlehrpfad - Bodenpflege,48.089708,7.922041,http://lh6.ggpht.com/B74VybSGoc_Y7b7UyDGEQPKwv-vszRwacSaIrOT8Lgxw-OiEaDliU6jygZ6xyoL1cFeT3wZHFXGZl4_JahQ
Weißer Burgunder,48.089155,7.92215,http://lh6.ggpht.com/X17iynUiNeyGI9wYbgyws65uMZY1GrwfbxlKhNco0NK97WHGzBqOX8Sj5Jg14g1xfF7XuB8Ix2I4lTwCTFk
Umweltschonender Weinbau,48.088285,7.921917,http://lh3.ggpht.com/iCxp7sLuIa9SZE76amEtbOVjjuyGx6DJElhlHHWZL_2nS4JBcPiGCMg6kpj0gRHNfycYCYNlAUlrgiIOCio
Weinbereitung,48.087761,7.920748,http://lh6.ggpht.com/915iX64sbFDkl4M1B20cm1tov6XN65L_Ex_QSpnSz7dKfZ6IFp04EafEpMwyQ8DXRN5nWVL8sZ_F29rWi38
Gasthaus zum Sternen,48.163143,7.831014,http://lh5.ggpht.com/XvVwXo_5gDxSMYCa9hjwasraVlx2aPAcdLAEYw_9r4zo1RvTvcDCnzDEiTN4UB6GO9yEQ9d0NTm5IsRhjAxM
Heimbacher Friedhof,48.165208,7.832327,http://lh5.ggpht.com/NUsXqotiPX3CrihYH3XTZLtRHDrzmYhYs4fpo1nfb3tOmO8uQB_U68wu8dpdfmI7lJozpn1qpFza-AW2wg72
Hinwiesstein zu den Steinbrüchen,48.166993,7.835791,http://lh5.ggpht.com/EcCEVOGxTt5LdGPHmM7XM6PMjme51k7cFfH2ESpPRagkyanr0FfxwfDQkqakJ7yPZkx3bH_EjZLhrqcTLPfC5w
Fratze An Der Kirchenmauer,48.163715,7.8317,http://lh6.ggpht.com/rBnfTqRl1PEWKjmCyVEua1Dc7oMHmDBTDKXaCdpqNZTOwMy5ds6evw4KLqCPFt-1x43X-vXTLJe3MUfMlZHG
Historischer Brunnen No. 1 of 7,48.164019,7.832307,http://lh3.ggpht.com/sSZFPg61ro9UlRgdmC5_Tm_aE3tudvitxwJQs8DybUYnC9LkM9N1_HU6M7CopEU7r0se8Gftv6P_g9C_sfHC
Historischer Brunnen No. 4 of 7,48.163732,7.830268,http://lh4.ggpht.com/GUJKPbUhva4gSrV-DynXAx8RqMA_9QX3UsfCTtCmRjUuren41Peqgd8EchPtfD29tTI6uFIMyZPIKw7dHvovAQ
Baummann,48.163703,7.8326,http://lh4.ggpht.com/7-k0dxerV0LWQyzxxtpEUHOIC3hJxsMzpgkryLrerEpL8VOa2myhVtwb3I0CPquYr7qORo1a9_mVTSXKavTY
Historischer Brunnen No. 2 of 7,48.164522,7.831301,http://lh6.ggpht.com/7wwGloXeo06TpOC9ABuvJQagvYLA0oom6VKgDkzl2tCIKBRNvmhlISNESPyH7L990ZkIEZ4NiJTu0_qUPNE4
Burgkapelle ,48.14928,7.840164,http://lh3.googleusercontent.com/RXQEpLHW-88EyRMO62GmJRZd1tvtO1AJUVupZ0vavU-kJGBuUllNqti9XW35sGJ8xsfQH8SsGEOTdRCZgDs
Dorfbrunnen,48.15799,7.924755,http://lh3.googleusercontent.com/Bq8WcYZyLXcIVtjZJKFNVYNrBMtJqgBCe1WlZcRcCh3BjJ8wtAoS2H0fEPt3kLc_HiH37YUpowe5ciNg6GGy
Abschussrampe,48.130171,7.822586,http://lh5.ggpht.com/Q5-utRDf0H43p0ITIGdsyRBOmFNqGGHk3Ln0Rwxcjyagi21cqCnE8zKIKrmEic40-4AY1Y1-sxKxN4TLi3IVew
Mundinger Mühle,48.129115,7.827494,http://lh3.ggpht.com/CNbYfUGJ77XyiFjwgOBtY4jjcDsLZqYSCnMHWW3yH06cznA6dTi5_qJV1XNcVP9oC76AgHMZQYKXfCCh62ytPg
Knubbelige Skulptur,48.129968,7.822124,http://lh5.ggpht.com/LsEsmuaVsdEW8NdQkUuvd-pD_zM9LjTXfyz2D6z-nLGMzSxf7AOnZYe8bQs_38OGfuatAfMr0y2WEI4eZs0g
Abenteuer Burg,48.126219,7.823132,http://lh6.ggpht.com/HyniCbRqsiKCrGMc5y6w0essecHs_pqN6WzdnNBDjnh8WFbEzIeH5Fho2vt2RuRmTgvOXLQbZiB3d0YmY6Q
Wasserkraftwerk Werk ,48.126911,7.819342,http://lh3.googleusercontent.com/JkxGFRzQX4ofBtS54uVsgZrTHlHtdZPD3uNWNP9lo5v3amlQESO-u6oCCLmNc8kOUzjhgkOjFKFIe5muR_gk
